$Numeros de Nodos
81
$Lista de Nodos y sus coordenadas
1	-2.5	-8.25	0.
2	-1.25	-8.25	0.
3	0.	-8.25	0.
4	1.25	-8.25	0.
5	2.5	-8.25	0.
6	3.75	-8.25	0.
7	5.	-8.25	0.
8	6.25	-8.25	0.
9	7.5	-8.25	0.
10	-2.5	-7.	0.
11	-1.25	-7.	0.
12	0.	-7.	0.
13	1.25	-7.	0.
14	2.5	-7.	0.
15	3.75	-7.	0.
16	5.	-7.	0.
17	6.25	-7.	0.
18	7.5	-7.	0.
19	-2.5	-5.75	0.
20	-1.25	-5.75	0.
21	0.	-5.75	0.
22	1.25	-5.75	0.
23	2.5	-5.75	0.
24	3.75	-5.75	0.
25	5.	-5.75	0.
26	6.25	-5.75	0.
27	7.5	-5.75	0.
28	-2.5	-4.5	0.
29	-1.25	-4.5	0.
30	0.	-4.5	0.
31	1.25	-4.5	0.
32	2.5	-4.5	0.
33	3.75	-4.5	0.
34	5.	-4.5	0.
35	6.25	-4.5	0.
36	7.5	-4.5	0.
37	-2.5	-3.25	0.
38	-1.25	-3.25	0.
39	0.	-3.25	0.
40	1.25	-3.25	0.
41	2.5	-3.25	0.
42	3.75	-3.25	0.
43	5.	-3.25	0.
44	6.25	-3.25	0.
45	7.5	-3.25	0.
46	-2.5	-2.	0.
47	-1.25	-2.	0.
48	0.	-2.	0.
49	1.25	-2.	0.
50	2.5	-2.	0.
51	3.75	-2.	0.
52	5.	-2.	0.
53	6.25	-2.	0.
54	7.5	-2.	0.
55	-2.5	-0.75	0.
56	-1.25	-0.75	0.
57	0.	-0.75	0.
58	1.25	-0.75	0.
59	2.5	-0.75	0.
60	3.75	-0.75	0.
61	5.	-0.75	0.
62	6.25	-0.75	0.
63	7.5	-0.75	0.
64	-2.5	0.5	0.
65	-1.25	0.5	0.
66	0.	0.5	0.
67	1.25	0.5	0.
68	2.5	0.5	0.
69	3.75	0.5	0.
70	5.	0.5	0.
71	6.25	0.5	0.
72	7.5	0.5	0.
73	-2.5	1.75	0.
74	-1.25	1.75	0.
75	0.	1.75	0.
76	1.25	1.75	0.
77	2.5	1.75	0.
78	3.75	1.75	0.
79	5.	1.75	0.
80	6.25	1.75	0.
81	7.5	1.75	0.
$Numero de elementos (conectividades) y tipo de elemento, 1=Lineal una direccion, 2=Lineal dos direcciones...  6=Stoke
128  6
$Conectividades por elemento  Elemento/Nodos a b c 
1	1	2	10
2	2	11	10
3	2	3	11
4	3	12	11
5	3	4	12
6	4	13	12
7	4	5	13
8	5	14	13
9	5	6	14
10	6	15	14
11	6	7	15
12	7	16	15
13	7	8	16
14	8	17	16
15	8	9	17
16	9	18	17
17	10	11	19
18	11	20	19
19	11	12	20
20	12	21	20
21	12	13	21
22	13	22	21
23	13	14	22
